source_kind,source_path,source_sha256,target_path,current_sha256,current_size_bytes,decision
Git包恢复,历史资料/旧文档包/BEH_AI图源_最新重构版_DeepSeek弱模型适配.zip,9bac90b22de3bc56f9b4f2f63517f5729bdae4e140ab56494f53f7ac8a54bf6c,历史资料/旧文档包/BEH_AI图源_最新重构版_DeepSeek弱模型适配.zip,9bac90b22de3bc56f9b4f2f63517f5729bdae4e140ab56494f53f7ac8a54bf6c,24271,保留
Git包恢复,历史资料/旧文档包/BEH_NativeRenderer视觉保真专项排查_新增文档包_v1.0_2026-08-19.zip,7698083b8ba00d790e61af8bc9d86c5c07354ef5f5209b9ab38c142478f04fde,历史资料/旧文档包/BEH_NativeRenderer视觉保真专项排查_新增文档包_v1.0_2026-08-19.zip,7698083b8ba00d790e61af8bc9d86c5c07354ef5f5209b9ab38c142478f04fde,6552,保留
Git包恢复,历史资料/旧文档包/BEH_交互与测试补充规范_新增文档包_v1.0_2026-08-19.zip,32cee72fedfaf7e733b670d682da006f18606ab0d0caa5558bf28a4c23d2f3bb,历史资料/BEH/BEH_交互与测试补充规范_新增文档包_v1.0_2026-08-19.zip,32cee72fedfaf7e733b670d682da006f18606ab0d0caa5558bf28a4c23d2f3bb,13194,相同内容合并到同一位置
Git包恢复,历史资料/旧文档包/BEH_交互与测试补充规范_无人工参与_v1.1_2026-08-19.zip,87eaf9c710a201e47ac51febc44cb9c2e122e85c85a15a5fa5b6a37438679142,历史资料/旧文档包/BEH_交互与测试补充规范_无人工参与_v1.1_2026-08-19.zip,87eaf9c710a201e47ac51febc44cb9c2e122e85c85a15a5fa5b6a37438679142,13762,保留
Git包恢复,历史资料/旧文档包/BEH_原生Renderer定位与Offscreen复用专项_新增文档包_v1.0_2026-08-19.zip,cc60f57c432da21a917a9e9ea9b006acb40ec69f0635a66c568a181b3e272f7d,历史资料/旧文档包/BEH_原生Renderer定位与Offscreen复用专项_新增文档包_v1.0_2026-08-19.zip,cc60f57c432da21a917a9e9ea9b006acb40ec69f0635a66c568a181b3e272f7d,7155,保留
Git包恢复,历史资料/旧文档包/BEH_新项目文档集.zip,6b3ce478f8c7beac33b13aa7d62e4ae16a8b5f0cbd05db0d3a3c0da06111f50d,历史资料/旧文档包/BEH_新项目文档集.zip,6b3ce478f8c7beac33b13aa7d62e4ae16a8b5f0cbd05db0d3a3c0da06111f50d,60109,保留
Git包恢复,历史资料/旧文档包/BEH图源与代码分析工作台_新项目文档集_v1.0_2026-08-19_最新版.zip,da7a691eb03b01f82b70742c998e5c54acca69f84372bd36725c6df2e681fb7d,历史资料/BEH/BEH图源与代码分析工作台_新项目文档集_v1.0_2026-08-19.zip,da7a691eb03b01f82b70742c998e5c54acca69f84372bd36725c6df2e681fb7d,60122,相同内容合并到同一位置
Git包恢复,历史资料/早期方案/00_BEH_AI图源项目_分阶段总路线图.md,0e50f9008964bd7f464b8f9150ce3d279a9e47a66f91efa63dec93434e2628cc,历史资料/早期方案/00_BEH_AI图源项目_分阶段总路线图.md,0e50f9008964bd7f464b8f9150ce3d279a9e47a66f91efa63dec93434e2628cc,5047,保留
Git包恢复,历史资料/早期方案/01_BEH_AI图源工作台_总体设计书.md,19f0bd2bc9961db4e5622ab7ae1610e6a7d85f3050a5321df83bb016e2163c5d,历史资料/早期方案/01_BEH_AI图源工作台_总体设计书.md,19f0bd2bc9961db4e5622ab7ae1610e6a7d85f3050a5321df83bb016e2163c5d,6992,保留
Git包恢复,历史资料/早期方案/01_BEH_AI图源工作台_最新总体设计书.md,3a2a8d6745c71dea8b640e212ee110d8b5a898660a518d0490fef15dc544ce41,历史资料/早期方案/01_BEH_AI图源工作台_最新总体设计书.md,3a2a8d6745c71dea8b640e212ee110d8b5a898660a518d0490fef15dc544ce41,8215,保留
Git包恢复,历史资料/早期方案/02_BEH_AI图源项目_DeepSeek弱模型适配开发路线图.md,3694342707fc3be3f024ef3db006dce8f5232ee283a434327248af976cdab31c,历史资料/早期方案/02_BEH_AI图源项目_DeepSeek弱模型适配开发路线图.md,3694342707fc3be3f024ef3db006dce8f5232ee283a434327248af976cdab31c,4690,保留
Git包恢复,历史资料/早期方案/02_BEH_AI图源项目_开发路线图.md,743b9c77b9660ef9f5471198e4368670bbbef39bbea323afd0b358fefbd6e662,历史资料/早期方案/02_BEH_AI图源项目_开发路线图.md,743b9c77b9660ef9f5471198e4368670bbbef39bbea323afd0b358fefbd6e662,3681,保留
Git包恢复,历史资料/早期方案/03_阶段3_BEH原生自动验图机器人.md,9bf01e60084c72e0d099c0487b7d47943c4229e3354b9301966bd0c97ffcd795,历史资料/早期方案/03_阶段3_BEH原生自动验图机器人.md,9bf01e60084c72e0d099c0487b7d47943c4229e3354b9301966bd0c97ffcd795,3977,保留
Git包恢复,历史资料/早期方案/04_阶段2_Relation结构化Review与原生BEH核验.md,4ba888ecdc0cdad14d10e834276159672c98903e25d4eeb508c9b344752fa54b,历史资料/早期方案/04_阶段2_Relation结构化Review与原生BEH核验.md,4ba888ecdc0cdad14d10e834276159672c98903e25d4eeb508c9b344752fa54b,4130,保留
Git包恢复,历史资料/早期方案/04_阶段4_DeepSeekHarness_小视觉模型_多模型验图Agent.md,7e7a24b5a19cfd0a5e5b6381490d6dac773151ff22041982aca91eccd7339583,历史资料/早期方案/04_阶段4_DeepSeekHarness_小视觉模型_多模型验图Agent.md,7e7a24b5a19cfd0a5e5b6381490d6dac773151ff22041982aca91eccd7339583,4016,保留
Git包恢复,历史资料/早期方案/05_阶段2_Relation结构化Review与原生BEH核验.md,20903314fb258eda80eb0feaa4cafa9baf5abf1087c9a050ca41fbfa6865ac84,历史资料/早期方案/05_阶段2_Relation结构化Review与原生BEH核验.md,20903314fb258eda80eb0feaa4cafa9baf5abf1087c9a050ca41fbfa6865ac84,2308,保留
Git包恢复,历史资料/早期方案/05_阶段5_验证反馈闭环与AI写图源准备.md,515936dbb56c47f43c2e2d1932b2114fcddf3fb03f4f4b681e666265956523d6,历史资料/早期方案/05_阶段5_验证反馈闭环与AI写图源准备.md,515936dbb56c47f43c2e2d1932b2114fcddf3fb03f4f4b681e666265956523d6,3620,保留
Git包恢复,历史资料/早期方案/06_阶段4_Compose人机共创与AI写图源.md,cc96fc9f38943c1fab0a71b4474f43c97254a790c51805a55f0aad0d5550a00c,历史资料/早期方案/06_阶段4_Compose人机共创与AI写图源.md,cc96fc9f38943c1fab0a71b4474f43c97254a790c51805a55f0aad0d5550a00c,3576,保留
Git包恢复,历史资料/早期方案/07_阶段4_Compose人机共创与AI写图源.md,9ed2f73b31acb74854b6f767d1c698cb35f710df254a7e7a8c813a9ccba6ee86,历史资料/早期方案/07_阶段4_Compose人机共创与AI写图源.md,9ed2f73b31acb74854b6f767d1c698cb35f710df254a7e7a8c813a9ccba6ee86,2314,保留
